venue,capacity,address,lat,lon
札幌ドーム,38794,北海道札幌市豊平区羊ヶ丘1,43.0147798,141.40974344269986
埼玉スタジアム2002,62010,埼玉県さいたま市緑区中野田500,35.903486900000004,139.71744524095004
味の素スタジアム,47851,東京都調布市西町376−3,35.66418645,139.52707517816015
町田GIONスタジアム,15320,東京都町田市野津田町2035,35.59255485,139.43884647475795
日産スタジアム,71624,神奈川県横浜市港北区小机町3300,35.5099882,139.60638254387774
デンカビッグスワンスタジアム,41684,新潟県新潟市中央区清五郎67−12,37.88257595,139.05915840743222
豊田スタジアム,43739,愛知県豊田市千石町7丁目2,35.0845879,137.17087353460715
パナソニック スタジアム 吹田,39694,大阪府吹田市千里万博公園3−3,34.80260745,135.53812572670734
ノエビアスタジアム神戸,29913,兵庫県神戸市兵庫区御崎町1丁目2−2,34.656696600000004,135.16976000179085
ベスト電器スタジアム,21562,福岡県福岡市博多区東平尾公園2丁目1−1,33.58590555000001,130.46083723819368
県立カシマサッカースタジアム,38620,茨城県鹿嶋市神向寺後山26−2,35.9920049,140.64036786659403
三協フロンテア柏スタジアム,15109,千葉県柏市日立台1丁目2−50,35.849285,139.973895
Uvanceとどろきスタジアム by Fujitsu,26827,神奈川県川崎市中原区等々力1−1,35.58576,139.65364
レモンガススタジアム平塚,15380,神奈川県平塚市大原1−1,35.3436618,139.34113627775108
ヤマハスタジアム(磐田),15165,静岡県磐田市新貝2500,34.7251498,137.8751465
サンガスタジアム by KYOCERA,21623,京都府亀岡市亀岡駅北1丁目8番地2,35.017040800000004,135.58423541662972
ヨドコウ桜スタジアム,24481,大阪府大阪市東住吉区長居公園1−1,34.615357700000004,135.51654409194487
エディオンピースウイング広島,28347,広島県広島市中区基町15−2−1,34.401502300000004,132.45458259891132
駅前不動産スタジアム,20805,佐賀県鳥栖市京町812,33.3716798,130.5202079
ユアテックスタジアム仙台,19526,宮城県仙台市泉区七北田柳78,38.319142150000005,140.8818652981643
NDソフトスタジアム山形,20638,山形県天童市山王1−1,38.335575649999996,140.37744284078218
ケーズデンキスタジアム水戸,10152,茨城県水戸市小吹町 2058 1,36.345389299999994,140.41224953652863
正田醤油スタジアム群馬,15190,群馬県前橋市敷島町66,36.41160175,139.0531972589248
ニッパツ三ツ沢球技場,15442,神奈川県横浜市神奈川区三ツ沢西町3−1,35.4690346,139.60369908044174
IAIスタジアム日本平,19594,静岡県静岡市清水区村松3880−1,34.984701799999996,138.4812509609019
シティライトスタジアム,15479,岡山県岡山市北区いずみ町2−1−11,34.6807354,133.91953468839893
鳴門・大塚スポーツパーク ポカリスエットスタジアム,17924,徳島県鳴門市撫養町立岩四枚,34.167034,134.616583
トランスコスモススタジアム長崎,20258,長崎県諫早市宇都町27−1,32.838529550000004,130.03940658375942
レゾナックドーム大分,31997,大分県大分市横尾1351,33.20078235,131.65748521324446
ソユースタジアム,18560,秋田県秋田市八橋運動公園1−10,39.721510699999996,140.0957691351444
ハワイアンズスタジアムいわき,5048,福島県いわき市常磐水野谷町竜ケ沢308,37.017317,140.86383
カンセキスタジアムとちぎ,24670,栃木県宇都宮市西川田4丁目1−1,36.509963,139.859882
フクダ電子アリーナ,19470,千葉県千葉市中央区川崎町1−20,35.577544849999995,140.12215979931813
JIT リサイクルインク スタジアム,15853,山梨県甲府市小瀬町840,35.6818468,138.557681
藤枝総合運動公園サッカー場,10057,静岡県藤枝市原100番地,34.88159005,138.2328944582272
維新みらいふスタジアム,15115,山口県山口市維新公園4丁目4−1,34.152947,131.436725
ニンジニアスタジアム,20919,愛媛県松山市上野町乙46,33.76819825,132.79761072415465
えがお健康スタジアム,30275,熊本県熊本市東区平山町2776 2776番地,32.836909399999996,130.8001381033166
白波スタジアム,12606,鹿児島県鹿児島市与次郎2丁目2−2,31.564312,130.562782
プライフーズスタジアム,5124,青森県八戸市市川町市川後55−1,40.590048,141.456504
とうほう・みんなのスタジアム,5710,福島県福島市佐原神事場1,37.7232646,140.3613025
サンプロ アルウィン,20336,長野県松本市神林5300,36.1797607,137.91710874437638
富山県総合運動公園陸上競技場,18588,富山県富山市南中田368,36.6250065,137.19555921983527
愛鷹広域公園多目的競技場,5104,静岡県沼津市足高202,35.156992,138.851666
東大阪市花園ラグビー場,26443,大阪府東大阪市松原南1丁目1−1,34.669297799999995,135.62656987083085
Axisバードスタジアム,11999,鳥取県鳥取市蔵田423,35.458339,134.221152
今治里山スタジアム,5316,愛媛県今治市高橋ふれあいの丘1−3,34.04042255,132.958628469522
いちご宮崎新富サッカー場,5360,宮崎県児湯郡新富町三納代1586,35.458339,134.221152
いわぎんスタジアム,5046,岩手県盛岡市永井8−65,39.647949999999994,141.13783885176497
NACK5スタジアム大宮,15491,埼玉県さいたま市大宮区高鼻町4丁目,35.91625305,139.6334514171515
相模原ギオンスタジアム,6259,神奈川県相模原市南区下溝4169,35.527254799999994,139.38631200382247
長野Uスタジアム,15515,長野県長野市篠ノ井東福寺320,36.580164249999996,138.169763226388
金沢ゴーゴーカレースタジアム,10728,石川県金沢市磯部町ニ25−1,36.596123000000006,136.65826221575142
岐阜メモリアルセンター長良川競技場,16310,岐阜県岐阜市長良福光大野2675-28,35.4413429,136.76606200850813
ロートフィールド奈良,5369,奈良県奈良市法蓮佐保山4丁目5−1,34.698449,135.828734
Pikaraスタジアム,22338,香川県丸亀市金倉町830,34.262033,133.78689959690422
ミクニワールドスタジアム北九州,15300,福岡県北九州市小倉北区浅野3丁目9−33,33.8911698,130.8887257238445
タピック県総ひやごんスタジアム,10189,沖縄県沖縄市比屋根5丁目3−1,26.308601449999998,127.82111759185361
エディオンスタジアム広島,36894,広島県広島市安佐南区大塚西5丁目1−1,34.4407675,132.39321828072832
ベストアメニティスタジアム,24130,佐賀県鳥栖市京町812,33.3716798,130.5202079
ヤンマースタジアム長居,50000,大阪府大阪市東住吉区長居公園1-1,34.61410635,135.51851097237665
市立吹田サッカースタジアム,40000,大阪府吹田市千里万博公園3−3,34.799964,135.539011
レベルファイブスタジアム,21562,福岡県福岡市博多区東平尾公園2丁目1−1,33.586099,130.460067
町田市立陸上競技場,15489,東京都町田市野津田町2035,35.59273,139.43890
鳴門・大塚スポーツパークポカリスエットスタジアム,17924,徳島県鳴門市撫養町立岩四枚,34.167034,134.616583
パロマ瑞穂スタジアム,27000,愛知県名古屋市瑞穂区山下通5丁目1,35.122544250000004,136.94425140496497
京都市西京極総合運動公園陸上競技場兼球技場,20588,京都府京都市右京区西京極新明町29,34.993469899999994,135.7139887487088
山梨中銀スタジアム,17000,山梨県甲府市小瀬町840,35.624201,138.584328
Shonan BMW スタジアム平塚,15380,神奈川県平塚市大原1−1,35.342153,139.344695
日立柏サッカー場,15349,千葉県柏市日立台1-2-50,35.848468350000005,139.97511131070166
等々力陸上競技場,26232,神奈川県川崎市中原区等々力1−1,35.5858,139.6527088
維新百年記念公園陸上競技場,26232,山口県山口市維新公園4丁目1−1,34.1544286,131.4374787520639
大分銀行ドーム,40000,大分県大分市横尾1351,33.200786,131.6575
石川県西部緑地公園陸上競技場,20261,石川県金沢市袋畠町南136,36.4011162,136.4403063
キンチョウスタジアム,24481,大阪府大阪市東住吉区長居公園1−1,34.614434,135.515477
松本平広域公園総合球技場,20396,長野県松本市神林5300,36.17980,137.91714
エコパスタジアム,50889,静岡県袋井市愛野2300−1,34.74343045,137.97072889535485
駒沢オリンピック公園総合運動場陸上競技場,17924,東京都世田谷区駒沢公園1−1,35.62560445,139.66356749851082
味の素フィールド西が丘,7258,東京都北区西が丘3丁目15−1,35.7691906,139.7078743188822
下関市営下関陸上競技場,23939,山口県下関市向洋町1丁目10−1,33.966777,130.934221
札幌厚別公園競技場,20861,北海道札幌市厚別区上野幌3条1-2-1,43.01876195,141.4641702081558
熊谷スポーツ文化公園陸上競技場,15392,埼玉県熊谷市上川上300 熊谷スポーツ文化公園内,36.163875450000006,139.4109264736834
神戸総合運動公園ユニバー記念競技場,35910,兵庫県神戸市須磨区緑台,34.679991,135.07706
栃木県グリーンスタジアム,18025,栃木県宇都宮市清原工業団地32,36.5567229,139.98660396322776
熊本市水前寺競技場,15000,熊本県熊本市中央区水前寺5丁目23−3,32.7941074,130.7414748
昭和電工ドーム大分,40000,大分県大分市横尾1351,33.200786,131.6575
東平尾公園博多の森陸上競技場,30000,福岡県福岡市博多区東平尾公園2丁目1−2,33.58458505,130.46571871423373
たけびしスタジアム京都,20588,京都府京都市右京区西京極新明町29,34.993752,135.712438
大分市営陸上競技場,15943,大分県大分市西浜1−1,33.246069950000006,131.6231471205263
浦和駒場スタジアム,21500,埼玉県さいたま市浦和区駒場2丁目1−1,35.8715047,139.66588758343676
セービング陸上競技場,23939,山口県下関市向洋町1丁目10−1,33.966777,130.934221
北上総合運動公園北上陸上競技場,22000,岩手県北上市相去町高前檀27−36,33.966777,130.934221
国立競技場,54224,東京都新宿区霞ヶ丘町10−1,35.67785955,139.71351420013758
いわきグリーンフィールド,5600,福島県いわき市常磐水野谷町竜ケ沢308,37.017245349999996,140.86441207481704
万博記念競技場,21000,大阪府吹田市千里万博公園5-2,34.810305,135.5426977881143
山梨県小瀬スポーツ公園陸上競技場,15859,山梨県甲府市小瀬町840,35.62243055,138.5898405799294
静岡スタジアムエコパ,51697,静岡県袋井市愛野2300−1,34.743828,137.968162
名古屋市瑞穂陸上競技場,20223,愛知県名古屋市瑞穂区山下通5-1,35.131623,136.933489
広島ビッグアーチ,36894,広島県広島市安佐南区大塚西5丁目1−1,34.444006,132.394111
新潟スタジアム,41684,新潟県新潟市中央区清五郎67-12,37.882408,139.059359
日本平スタジアム,20248,静岡県静岡市清水区村松3880−1,34.985168,138.481305
東平尾公園博多の森球技場,22331,福岡県福岡市博多区東平尾公園2丁目1−2,33.58731,130.463308
九州石油ドーム,31997,大分県大分市横尾1351,33.20078235,131.65748521324446
大阪長居スタジアム,47853,大阪府大阪市東住吉区長居公園1-1,34.614434,135.515477
さいたま市浦和駒場スタジアム,21500,埼玉県さいたま市浦和区駒場2丁目1−1,35.8715047,139.66588758343676
横浜市三ツ沢公園球技場,15440,神奈川県横浜市神奈川区三ツ沢西町3-1,35.469318,139.606574
大阪長居第2陸上競技場,15516,大阪府大阪市東住吉区長居公園1−1,34.614434,135.515477
熊本県民総合運動公園陸上競技場,30684,熊本県熊本市東区平山町2776 2776番地,32.8368519,130.80012364619364
東北電力ビッグスワンスタジアム,41684,新潟県新潟市中央区清五郎67-12,37.882408,139.059359
ホームズスタジアム神戸,28425,兵庫県神戸市兵庫区御崎町1丁目2−2,34.656726,135.168171
柏の葉公園総合競技場,20000,千葉県柏市柏の葉4丁目1,35.896443,139.937654
名古屋市瑞穂球技場,20223,愛知県名古屋市瑞穂区山下通5丁目1,35.131623,136.933489
鹿児島県立鴨池陸上競技場,12584,鹿児島県鹿児島市与次郎2丁目2−2,31.56489655,130.5601671371307
アウトソーシングスタジアム日本平,20248,静岡県静岡市清水区村松3880−1,34.985168,138.481305
平塚競技場,15732,神奈川県平塚市大原1−1,35.3436618,139.34113627775108
宮城スタジアム,49133,宮城県宮城郡利府町菅谷字舘40-1,38.338464,140.956244
コカ・コーラウエスト広島スタジアム,13800,広島県広島市西区観音新町2丁目11−124,34.378236,132.422976
佐賀県総合運動場陸上競技場,17000,佐賀県佐賀市日の出2-1-10,33.276471,130.290312
ShonanBMWスタジアム平塚,15732,神奈川県平塚市大原1−1,35.342153,139.344695
パナソニックスタジアム吹田,39694,大阪府吹田市千里万博公園3−3,34.799964,135.539011
